zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
47346,0.733137336402323,620,34,3871,9,0,8,23,0.16710775047259,rural
47355,0.814205065109606,415,37,2586,34,11,42,79,0.0998980632008155,rural
47357,0.776384476882103,176,14,812,0,0,3,7,0.165714285714286,rural
46759,0.852976240326721,107,26,423,0,0,0,85,0.0988700564971751,rural
46764,0.809929569700039,213,10,1255,11,16,50,53,0.207094918504314,rural
46777,0.793237878400123,1119,166,6061,0,14,247,171,0.2139234670355,rural
46781,0.828926809107637,90,0,709,0,1,6,12,0.0822179732313576,rural
46783,0.733163643242412,1111,340,6180,22,27,325,97,0.355695632597929,rural
46784,0.779233236102746,309,36,2041,3,0,89,26,0.123595505617978,rural
46794,0.81630180324138,248,47,1628,2,0,62,17,0.103476151980598,rural
46818,0.692386429175141,3614,609,17924,575,505,1111,737,0.235670147027488,suburban
46913,0.806009962190424,119,48,1048,0,0,0,0,0.170984455958549,rural
46958,0.807692307692308,55,0,458,0,0,0,0,0.031413612565445,rural
46985,0.745517465660273,238,27,1427,0,0,11,0,0.119595216191352,rural
46987,0.811142992739533,171,3,780,0,0,104,0,0.167168674698795,rural
46988,0.833031347275516,219,0,938,0,0,0,29,0.118589743589744,rural
46990,0.848727631032251,159,21,710,0,0,0,31,0.241176470588235,rural
46991,0.810848800636801,296,7,1555,0,0,49,10,0.245971162001696,rural
46992,0.773210812060268,2248,247,15583,106,89,242,240,0.160927496106593,rural
46996,0.725523690299097,1088,179,5706,24,75,195,159,0.152158693115519,rural
46201,0.322169298069325,5701,507,17049,8009,183,4247,1474,0.171762893051476,urban
46225,0.448808335133635,551,98,4097,634,48,614,184,0.207389162561576,urban
46234,0.52444040283376,5279,1092,19809,3597,589,1984,885,0.382509592806827,suburban
46250,0.394294041842853,1902,648,13169,3000,583,1095,555,0.578567173071195,suburban
46303,0.664092131055048,2489,320,13796,26,56,739,148,0.205197944998489,suburban
46327,0.251329523814254,2351,249,3029,1257,35,7070,75,0.0761904761904762,suburban
46340,0.676486922283119,157,7,742,0,0,0,0,0.150943396226415,rural
46341,0.651192935284081,2134,118,9347,14,33,842,121,0.166274625110262,rural
46346,0.589152853190623,257,10,1080,58,11,42,17,0.0315068493150685,rural
46350,0.577780511736958,7084,677,36751,1081,233,3882,816,0.203379458062761,rural
46360,0.385501939846663,5664,1243,29837,9428,338,2181,1894,0.182816011464678,suburban
46365,0.670716113731927,54,0,703,0,0,52,0,0.0919732441471572,rural
46229,0.342169997141849,5682,409,12446,13429,272,2000,621,0.184912409911095,suburban
46235,0.173910726708517,7954,715,8700,18467,233,4553,1110,0.138840807762916,urban
46381,0.739868343540774,0,0,176,0,0,0,0,0,rural
46311,0.569427821548209,3232,434,17282,785,707,2358,500,0.31432241490045,suburban
46321,0.473895285790133,3206,773,17621,873,858,2882,455,0.453732090345993,suburban
46379,0.740406320541761,0,0,81,0,0,0,0,0,rural
46382,0.703051086484409,299,87,1676,0,23,14,0,0.199840127897682,rural
46390,0.690255731846533,603,43,3128,37,0,147,15,0.173521850899743,rural
46392,0.72445513215118,1345,105,7136,37,32,382,147,0.126582278481013,rural
46405,0.46976600605982,2262,182,6858,591,56,2915,435,0.106604703562878,suburban
46508,0.823809523809524,17,0,107,0,0,6,0,0.0116279069767442,rural
46524,0.848764483102828,261,95,2053,0,0,62,9,0.0915032679738562,rural
46534,0.714099846316106,2329,187,11075,13,13,510,75,0.116434827408552,rural
46562,0.811234809494304,813,232,4420,8,51,385,146,0.159846923756256,rural
46563,0.678769224209421,4234,546,19803,177,142,2956,586,0.21222696135453,rural
46615,0.371646735630677,2108,684,9044,2121,548,1221,785,0.310379689957313,urban
46506,0.766936059644117,1174,434,8078,0,0,1572,50,0.1796480489671,rural
46507,0.764589090021185,1779,313,7708,28,38,1241,419,0.286665556850341,rural
46517,0.608279410657181,5299,382,16511,2744,167,6133,913,0.151132744426417,suburban
46628,0.35808972210678,4012,1164,14549,8228,285,2471,863,0.234280889389249,urban
46710,0.767456297807544,633,48,4118,0,8,24,141,0.199866533199867,rural
46051,0.705401560620563,550,11,2638,41,0,121,17,0.25875486381323,rural
46064,0.701735152513084,3055,398,14646,1417,30,611,464,0.268514687629293,suburban
46074,0.603346095184118,7559,1352,27168,1402,3310,2071,804,0.605199516324063,suburban
46124,0.798562620949561,1529,161,7253,269,0,1075,352,0.130379545815468,rural
46155,0.848,69,0,162,0,0,0,0,0,rural
46161,0.800194185683996,412,36,2426,58,0,0,85,0.151805869074492,rural
46164,0.797086402133008,589,48,3992,12,25,46,91,0.239721485411141,rural
46167,0.779134885608484,1266,231,6591,149,49,129,148,0.400840336134454,rural
46375,0.530913878376778,3379,695,18710,889,737,2769,493,0.34919311617936,suburban
46403,0.0811070297948125,1639,307,2830,8306,68,1628,603,0.22284003421728,suburban
46504,0.827510925183234,791,80,3436,53,15,95,136,0.151022110972048,rural
46539,0.847025004747587,550,27,2709,17,0,57,19,0.13231273920175,rural
46552,0.648167249845634,1409,58,6702,20,45,113,27,0.217088607594937,suburban
46561,0.692869779271829,2674,606,12267,266,153,391,538,0.232867293146917,suburban
46345,0.638326516911472,21,1,97,0,0,73,0,0.0645161290322581,rural
46738,0.714630202011223,1597,151,7994,78,15,336,126,0.14186295503212,suburban
46745,0.825366281449969,276,66,2083,0,0,35,28,0.248125426039536,rural
46755,0.714693678205202,3001,195,13800,142,222,712,221,0.140536723163842,suburban
46772,0.862725757393531,488,297,3018,12,4,41,12,0.124914207275223,rural
46779,0.746373883545386,434,65,2104,3,5,9,23,0.124450951683748,rural
46725,0.761963883304229,3151,714,22289,113,62,366,456,0.225508654722138,rural
46733,0.73384334150091,3130,747,17384,117,33,1354,55,0.152156862745098,rural
46750,0.756294023951282,4353,361,25178,318,185,563,255,0.202135943931472,urban
46763,0.788256081557087,184,202,1778,0,0,103,0,0.333070866141732,rural
46770,0.797671679410404,466,38,2998,7,8,14,30,0.165504416550442,rural
46785,0.835858844056766,243,87,1568,0,1,97,20,0.207655502392345,rural
46805,0.472420767119623,2858,971,15982,2420,1262,1244,796,0.283137962128043,urban
46058,0.729092838032586,370,106,2436,12,13,42,13,0.198237885462555,rural
46063,0.77326968973747,120,13,527,0,0,38,0,0.108635097493036,rural
46732,0.764370632705738,538,43,2540,11,7,614,72,0.158291457286432,rural
46741,0.839173451250804,586,334,4471,7,6,51,18,0.156498673740053,rural
46742,0.771516118338384,371,271,3208,4,9,11,58,0.218401071907101,rural
46743,0.809214041440452,164,242,1992,9,0,18,31,0.199551569506726,rural
46765,0.828158380273479,985,281,5346,3,23,164,32,0.351043643263757,rural
46799,0.77683615819209,30,7,196,0,0,31,0,0.0649350649350649,rural
46814,0.650665146285094,2306,965,10543,580,992,229,305,0.638449462625287,suburban
46347,0.704998528863417,1006,119,4503,4,0,273,53,0.241410763149894,rural
46371,0.671845622358838,354,132,3045,5,0,196,0,0.26041209995616,rural
46069,0.789046077214308,1129,133,7022,0,52,59,87,0.203493265993266,suburban
46016,0.426851945352188,3019,361,11853,3703,93,1758,639,0.0949484710255111,urban
46307,0.561299402256415,10259,1277,51475,2592,1002,6501,1209,0.311102993219023,suburban
46816,0.324733108385486,3513,824,6568,5955,2974,2315,1243,0.113054016620499,urban
46825,0.597864411988974,3128,1266,22717,2289,1741,2043,717,0.323066359311393,suburban
46911,0.83660589522056,243,30,1403,2,1,29,48,0.219095477386935,rural
46926,0.82737044403139,160,5,1208,10,0,14,61,0.144016227180527,rural
46960,0.711581075902006,140,0,976,0,6,72,8,0.0814639905548996,rural
46017,0.670498276376428,706,186,5341,231,15,188,39,0.196303696303696,rural
46032,0.544033059398127,8680,2511,41285,1455,4808,2216,1787,0.697231631818713,suburban
46038,0.553485769640076,8637,1197,35083,2700,3166,1424,1008,0.606106106106106,suburban
46039,0.800111198557107,45,13,508,0,0,0,0,0.16743119266055,rural
46068,0.804686033525273,615,14,2767,4,20,56,25,0.274519716885743,suburban
46072,0.758405635189794,1191,181,8170,12,18,162,230,0.234601305109024,suburban
46103,0.84406779661017,47,0,156,1,0,0,5,0.149532710280374,rural
46104,0.785366522710639,111,0,910,0,0,0,0,0.0668563300142248,rural
46105,0.804743316962583,299,14,1771,0,0,23,0,0.105355575065847,rural
46118,0.812790994425285,769,252,4657,189,35,50,137,0.217354196301565,rural
46122,0.784982300739455,2830,674,14877,591,462,235,135,0.302739726027397,suburban
46123,0.652004114184985,6882,1282,29241,2511,1319,2398,1147,0.442400368771739,suburban
46140,0.748514094597928,6359,471,38622,137,412,677,444,0.256842331222497,suburban
46162,0.816402754696184,37,0,276,0,0,0,38,0.0836820083682008,rural
46175,0.849741275573437,146,1,618,0,0,28,0,0.116279069767442,rural
46204,0.238840629047378,198,0,5384,2015,439,335,183,0.518674001158078,urban
46214,0.367419694726784,4088,489,11284,8476,514,3108,1167,0.241932509680988,suburban
46216,0.33646399697835,195,19,1339,724,12,122,127,0.492089470812875,suburban
46237,0.644294927286451,5805,1460,31892,1694,2365,2367,851,0.354328922495274,suburban
46256,0.486082263985785,2635,975,18657,2880,665,1124,511,0.564489700374532,suburban
46304,0.513864774451606,4111,654,21617,387,523,2374,450,0.329470483621135,suburban
46322,0.479824964792996,3318,360,16966,1113,564,3482,456,0.286978661493695,suburban
46929,0.796064648565058,565,24,2906,163,0,15,4,0.122272957889396,rural
46932,0.773223652289577,435,66,2910,21,0,65,61,0.152718676122931,rural
46943,0.760752688172043,90,4,195,0,0,4,26,0.308641975308642,rural
46974,0.831893252831853,437,149,1940,55,6,2,76,0.227554179566563,rural
46979,0.784715255300884,1160,99,4784,3,8,48,97,0.294046539740103,rural
46301,0.3828125,19,9,485,9,4,18,0,0.740425531914894,rural
46323,0.327354014812202,3866,489,9429,3980,651,7498,637,0.15393172495307,urban
46348,0.691157979891062,161,8,996,6,0,17,12,0.0998650472334683,rural
46406,0.170062800576716,1585,102,2068,5666,22,1165,121,0.11390456644433,urban
46410,0.240906663633448,6977,841,13573,16378,659,5727,1476,0.245398049087476,suburban
46516,0.505094074830426,6080,571,19097,4567,210,6516,939,0.137192503914735,suburban
46537,0.735945485519591,52,5,397,0,0,28,0,0.0320512820512821,rural
46538,0.810461359639467,616,157,4026,0,35,55,53,0.313953488372093,rural
46795,0.780426108959309,782,238,6416,17,0,102,116,0.151217428449381,rural
46802,0.336567069081997,1232,156,6025,1927,248,1737,647,0.237445491630328,urban
46809,0.614559932160355,1387,349,6967,1158,6,716,365,0.145225667792447,suburban
46933,0.730058835061764,1244,31,5543,105,130,219,129,0.137990196078431,suburban
46939,0.764281376336149,200,0,1738,6,0,14,61,0.112326768781911,rural
46941,0.836287901560957,174,9,925,0,0,21,24,0.21216848673947,rural
46946,0.801223241590214,0,0,34,0,0,0,0,0,rural
46107,0.622013662855487,1972,244,11870,328,120,609,154,0.169397116644823,suburban
46142,0.698057461328086,4578,825,26979,539,387,1273,518,0.384452540370225,suburban
46144,0.803001859187892,7,0,110,0,0,0,23,0.325396825396825,rural
46150,0.800590478727787,229,16,1068,0,17,29,33,0.157125456760049,rural
46168,0.674118987077511,5974,367,29561,2743,1008,1272,834,0.335757976525045,suburban
46172,0.829477061302882,554,8,2529,0,0,9,24,0.185625353706848,rural
46203,0.463688806703164,7165,531,27024,6120,357,3834,1246,0.179087571283493,urban
46222,0.236454523160736,7869,907,10122,14848,409,10802,1704,0.0873831995116683,urban
46224,0.33004377690882,6363,628,11802,13408,617,10223,1024,0.202305939133932,urban
46226,0.198110816374059,8860,836,12667,24113,218,6409,2245,0.193909448421902,suburban
46228,0.167709216698314,2449,1181,6125,7375,955,973,1002,0.457201916752795,suburban
46231,0.423806191506633,2457,108,5153,2697,787,1202,438,0.161795721602892,suburban
46254,0.139760230276917,7844,848,9075,22181,1101,6283,1636,0.307839540633224,suburban
46260,0.236822506609764,5486,1212,16296,10895,1228,4433,1593,0.470378141881334,suburban
46278,0.360478083981565,877,711,5070,2382,289,809,309,0.56787293270018,suburban
46031,0.782746242611901,534,9,2486,4,5,44,7,0.210585585585586,rural
46034,0.760899319860481,1121,27,6464,88,15,52,30,0.301428571428571,rural
46047,0.817843866171004,0,0,56,0,0,0,0,0,suburban
46050,0.782393012256939,393,78,1973,13,10,76,55,0.208363374188897,rural
46076,0.815431764827452,150,15,1243,0,0,187,10,0.142259414225941,suburban
46112,0.672135042955701,7431,1072,32477,2586,948,1145,663,0.408287509819324,suburban
46113,0.690969921881554,3427,249,13608,1261,65,549,22,0.22488234090444,rural
46120,0.811609847263087,816,26,5180,0,6,27,119,0.115414608786067,rural
46166,0.862811292113461,423,36,2069,0,0,18,80,0.110376734963648,rural
46173,0.747965185855147,1592,90,9351,271,2,172,109,0.145345516847516,rural
46176,0.713750276091186,5100,308,24975,419,250,1730,363,0.173799582463466,suburban
46184,0.761950160099589,2428,409,12868,331,92,474,277,0.280370809528943,suburban
46218,0.111556207763432,5264,341,5014,20972,85,2349,498,0.0827246827246827,urban
46220,0.321071408002232,3282,1994,29242,4283,574,1323,1163,0.637547496956506,urban
46614,0.532625178135095,3528,2005,24717,3237,144,1977,960,0.28897408656289,suburban
46617,0.257594037005686,1390,704,6737,1822,141,670,319,0.552549598294803,urban
46635,0.448965413542047,493,500,5302,610,206,181,64,0.403423499577346,suburban
46737,0.725696060793919,1181,51,6923,6,48,293,59,0.217320849837955,rural
46573,0.815313881049658,628,73,3611,25,72,60,44,0.226114649681529,rural
46637,0.477118018416145,1258,756,12312,1707,464,632,975,0.357826576576577,suburban
46320,0.144818545232644,2668,287,2165,6577,36,4557,226,0.0889683959451401,urban
46536,0.732230514355766,405,68,3018,5,78,23,85,0.196843489697501,rural
46914,0.812291736880798,184,22,1609,67,32,17,4,0.141860465116279,rural
46052,0.743312321493901,3446,328,21319,148,67,626,283,0.301762114537445,suburban
46147,0.820985807824458,597,70,3171,0,7,8,23,0.295049504950495,rural
46060,0.631961726924252,7998,1325,35221,2337,656,1854,1393,0.427649589362534,suburban
46580,0.758370875053647,3938,481,18412,376,276,2210,739,0.258057907675499,rural
46501,0.766429832910675,683,188,3520,10,9,74,0,0.143972246313964,rural
46746,0.74472161028317,896,0,3785,43,6,759,47,0.174771480804388,rural
46994,0.759369348213038,429,72,2616,0,26,164,9,0.179945799457995,rural
46049,0.775359189645387,128,0,1049,0,0,2,31,0.28290282902829,rural
46135,0.694757968492484,2581,214,17794,943,920,604,201,0.173883524441762,rural
46236,0.486914902526929,4302,1366,20221,4717,382,1900,1485,0.509754979369365,suburban
46319,0.427954305165205,2287,416,11610,2558,274,2628,443,0.201062525541479,suburban
46221,0.646554646627586,5442,175,21065,2336,152,2312,849,0.116515510369129,suburban
46227,0.591854978429589,7177,1191,37464,3761,8313,3436,1902,0.213921152095346,suburban
46268,0.231807416049362,3677,570,10091,11017,262,3357,716,0.383860289921242,suburban
46324,0.312197870745809,4075,934,9300,4797,90,7081,552,0.181257175660161,suburban
46959,0.811728395061729,114,0,838,0,0,0,0,0.0638606676342525,rural
46961,0.753623188405797,40,0,169,0,0,0,0,0.0465116279069768,rural
46962,0.669019104161542,1284,36,8073,148,0,522,101,0.218388879584659,rural
46978,0.803785752552902,428,99,2055,3,0,55,22,0.175091575091575,rural
47431,0.774533038510513,153,42,1490,0,0,52,42,0.104385964912281,rural
47446,0.758203055755108,1814,140,10035,77,31,172,78,0.139603542808941,rural
47455,0.852941176470588,18,0,58,0,0,0,18,0,rural
47513,0.719041282632968,409,8,2196,0,15,5,6,0.0848527349228612,rural
47529,0.844446253188324,247,5,1152,8,0,5,8,0.105548037889039,rural
47531,0.687722977571328,183,0,945,0,0,0,0,0.158555729984301,rural
47720,0.680783218491936,2233,1067,17112,134,108,103,306,0.327520305781175,rural
47803,0.53839859819341,2341,479,18396,1158,433,433,519,0.340389437970202,suburban
47807,0.404867816794612,1851,47,8562,1789,292,421,822,0.147250698974837,urban
47424,0.767072337447182,1242,159,8796,62,14,62,31,0.173117629271243,rural
47449,0.759116403630033,32,2,248,0,0,0,152,0.0255591054313099,rural
47468,0.511874675250019,221,58,1479,0,0,31,0,0.369369369369369,rural
47514,0.677865612648221,14,0,1127,385,0,38,6,0.0432900432900433,rural
47515,0.691557631071035,205,8,874,0,6,0,0,0.137870855148342,rural
47521,0.727416798732171,262,0,692,0,0,0,0,0.442970822281167,rural
47523,0.683006668540726,729,0,2949,0,0,377,20,0.138082673702727,rural
47551,0.630978619027775,200,34,914,0,0,0,0,0.32597623089983,rural
47557,0.806098422565039,355,22,1563,0,0,20,3,0.141164856860809,rural
47567,0.787480794294392,1184,17,5971,53,0,42,50,0.152027027027027,rural
47575,0.739794528005094,104,0,955,0,0,0,0,0.214824120603015,rural
47620,0.674961296211108,2036,607,12313,332,28,261,195,0.225542275343072,rural
47660,0.723478808721413,827,57,4690,39,27,90,22,0.20320197044335,rural
47017,0.823176261976152,70,0,458,0,0,0,23,0.0552631578947368,rural
47024,0.874536193791529,827,115,3533,25,0,51,99,0.0586605080831409,rural
47035,0.859567901234568,15,0,246,0,0,0,0,0,rural
47117,0.760635909853947,755,175,4356,92,49,11,23,0.131955484896661,rural
47125,0.752105304897922,207,109,1526,0,0,28,0,0.158366533864542,rural
47165,0.77592492111756,1087,114,5821,0,7,147,59,0.161950770646423,rural
47201,0.667149735373262,6948,1623,35141,852,4498,3431,909,0.35399598591781,rural
47001,0.758595471630251,1146,92,9559,37,66,52,295,0.161030383091149,rural
47010,0.766750158673148,0,0,220,0,0,0,0,0,rural
47011,0.761988121957505,103,60,747,0,0,41,0,0.0648148148148148,rural
47012,0.815289093025231,1075,285,9064,8,168,98,58,0.222043325526932,rural
47016,0.85258337709695,113,56,793,0,0,3,0,0.169491525423729,rural
47023,0.813956855852292,263,90,1645,0,0,13,7,0.163669064748201,rural
47115,0.703932145501048,528,81,2779,0,2,127,117,0.188528678304239,rural
47130,0.507349453011532,6612,1237,35049,6127,834,2307,2328,0.224163784925177,suburban
47140,0.666133229138969,441,3,2428,27,0,29,75,0.0776589758019133,rural
47162,0.775275448746381,109,0,801,0,0,0,0,0.181328545780969,rural
47226,0.774445893089961,23,0,226,24,3,7,0,0.055,rural
47220,0.808847937955808,795,259,5426,25,24,63,133,0.172448466566114,rural
47231,0.779361905537395,120,95,798,34,0,18,8,0.116071428571429,rural
47235,0.805934074417424,465,28,1452,36,0,0,0,0.184581976112921,rural
47265,0.752740980964433,3237,301,18996,395,63,653,237,0.122903412377097,rural
47273,0.813017755264665,375,58,2200,0,0,10,0,0.18956043956044,rural
47344,0.781641168289291,37,0,123,0,0,0,1,0.0579710144927536,rural
47361,0.799628942486085,51,0,205,0,0,9,1,0.15,rural
47390,0.727564126959979,867,23,4156,0,0,666,138,0.102399063779988,rural
47955,0.812891787156281,167,0,940,11,0,52,13,0.158518518518519,rural
47980,0.756545739388705,140,12,980,0,6,7,12,0.211413748378729,rural
47338,0.722290192544312,529,26,2711,11,0,34,33,0.107692307692308,rural
47341,0.791817577631485,510,20,2347,0,1,6,28,0.0947176684881603,rural
47348,0.72635387081552,1340,150,8826,4,0,167,162,0.15430174563591,rural
47360,0.757369087363529,158,25,1138,8,0,105,8,0.148606811145511,rural
47832,0.784577322774835,163,1,1040,0,0,0,19,0.210462287104623,rural
